filename,tumor
24 no.jpg,no
25 no.jpg,no
26 no.jpg,no
27 no.jpg,no
28 no.jpg,no
29 no.jpg,no
38 no.jpg,no
39 no.jpg,no
40 no.jpg,no
41 no.jpg,no
42 no.jpg,no
43 no.jpg,no
N11.jpg,yes
N15.jpg,no
N2.JPG,no
N3.jpg,no
N5.jpg,no
N6.jpg,no
no 2.jpg,yes
no 3.jpg,no
no 4.jpg,no
no 5.jpeg,no
no 6.jpg,no
no 7.jpeg,no
Y100.JPG,no
Y101.jpg,no
Y102.jpg,no
Y103.jpg,no
Y104.jpg,no
Y105.jpg,no
Y106.jpg,no
Y107.jpg,no
Y108.jpg,no
Y109.JPG,no
Y115.JPG,no
Y116.JPG,no
Y117.JPG,no
Y120.JPG,no
Y146.JPG,no
Y147.JPG,yes
Y148.JPG,no
Y153.jpg,no
Y154.jpg,no
Y155.JPG,no
Y160.JPG,no
Y161.JPG,no
Y162.jpg,no
Y163.JPG,no
Y164.JPG,no
Y165.JPG,no
Y166.JPG,no
Y167.JPG,no
Y168.jpg,no
Y169.jpg,no
Y183.jpg,no
Y184.JPG,no
Y185.jpg,no
Y186.jpg,no
Y187.jpg,no
Y188.jpg,no
Y192.JPG,no
Y193.JPG,no
Y194.jpg,no
Y195.JPG,no
Y246.JPG,no
Y247.JPG,no
Y248.JPG,no
Y249.JPG,no
Y250.jpg,no
Y251.JPG,no
Y252.jpg,no
Y253.JPG,yes
Y254.jpg,no
Y255.JPG,no
