filename,tumor
1 no.jpeg,no
10 no.jpg,no
10 no.jpg,no
11 no.jpg,no
11 no.jpg,no
12 no.jpg,no
12 no.jpg,no
13 no.jpg,no
13 no.jpg,no
14 no.jpg,no
14 no.jpg,no
15 no.jpg,no
15 no.jpg,no
17 no.jpg,no
17 no.jpg,no
18 no.jpg,no
18 no.jpg,no
19 no.jpg,no
19 no.jpg,no
2 no.jpeg,no
20 no.jpg,no
20 no.jpg,no
21 no.jpg,no
21 no.jpg,no
22 no.jpg,no
22 no.jpg,no
23 no.jpg,no
23 no.jpg,no
24 no.jpg,no
24 no.jpg,no
25 no.jpg,no
25 no.jpg,no
26 no.jpg,no
26 no.jpg,no
27 no.jpg,no
27 no.jpg,no
28 no.jpg,no
28 no.jpg,no
29 no.jpg,no
29 no.jpg,no
3 no.jpg,no
3 no.jpg,no
30 no.jpg,no
30 no.jpg,no
31 no.jpg,no
31 no.jpg,no
32 no.jpg,no
32 no.jpg,no
33 no.jpg,no
33 no.jpg,no
34 no.jpg,no
34 no.jpg,no
35 no.jpg,no
35 no.jpg,no
36 no.jpg,no
36 no.jpg,no
37 no.jpg,no
37 no.jpg,no
38 no.jpg,no
38 no.jpg,no
39 no.jpg,no
39 no.jpg,no
4 no.jpg,no
4 no.jpg,no
40 no.jpg,no
40 no.jpg,no
41 no.jpg,no
41 no.jpg,no
42 no.jpg,no
42 no.jpg,no
43 no.jpg,no
43 no.jpg,no
44no.jpg,no
44no.jpg,no
45 no.jpg,no
45 no.jpg,no
46 no.jpg,no
46 no.jpg,no
47 no.jpg,no
47 no.jpg,no
48 no.jpeg,no
49 no.jpg,no
49 no.jpg,no
5 no.jpg,no
5 no.jpg,no
50 no.jpg,no
50 no.jpg,no
6 no.jpg,no
6 no.jpg,no
7 no.jpg,no
7 no.jpg,no
8 no.jpg,no
8 no.jpg,no
9 no.jpg,no
9 no.jpg,no
N1.JPG,no
N1.JPG,no
N11.jpg,no
N11.jpg,no
N15.jpg,no
N15.jpg,no
N16.jpg,no
N16.jpg,no
